frame,detections
385,0:0.83:450.5:569.4:210.9:488.8
386,0:0.87:452.2:570.0:244.4:484.8
387,0:0.89:448.2:568.9:272.0:487.4
388,0:0.88:437.0:574.8:296.6:496.1
389,0:0.90:420.0:574.9:325.1:471.9
390,0:0.89:413.3:571.3:335.7:463.4
391,0:0.90:406.2:576.0:342.8:458.4
392,0:0.91:392.0:579.2:354.6:462.1
393,0:0.85:360.7:578.2:388.2:469.4
394,0:0.84:341.8:583.0:384.5:470.4;0:0.45:285.4:580.7:270.4:468.6
395,0:0.86:316.6:578.7:366.9:473.3;0:0.25:261.2:578.8:253.2:477.6
396,0:0.90:297.4:575.1:349.9:480.1
397,0:0.86:265.8:572.9:335.2:483.4
398,0:0.84:243.9:571.4:339.2:488.2
399,0:0.53:219.5:571.7:330.8:479.1
400,
401,
402,0:0.50:175.3:568.9:347.2:507.8
403,0:0.78:174.7:563.9:347.4:518.0
404,0:0.76:174.5:559.4:346.9:529.0
405,0:0.73:173.1:561.2:344.6:527.2
406,0:0.77:171.4:552.8:341.2:540.3
407,
408,
409,
410,
411,
412,
413,
414,0:0.26:66.1:679.6:131.9:343.7
415,
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,
461,
462,
463,0:0.50:1724.3:700.5:176.4:218.3
464,
465,0:0.60:1721.9:684.6:168.1:238.4
466,
467,
468,
469,0:0.53:1705.2:678.3:174.7:250.3
470,0:0.33:1704.1:669.0:175.5:227.8
471,0:0.44:1688.7:667.2:196.2:228.1
472,0:0.28:1654.9:567.2:261.9:471.4;0:0.27:1676.6:674.5:216.2:240.5
473,0:0.67:1664.1:584.9:240.5:401.0
474,0:0.58:1657.1:585.2:256.1:404.6
475,0:0.87:1645.7:611.5:272.3:353.5
476,0:0.79:1637.1:598.3:281.0:384.5
477,0:0.83:1619.3:605.6:307.0:378.9
478,0:0.81:1607.2:594.8:332.9:398.4
479,0:0.84:1601.6:586.1:316.0:404.9
480,0:0.85:1604.5:582.8:341.3:438.2
481,0:0.87:1610.2:567.8:325.4:443.7
